Processor_Speed,RAM_Size,Storage_Capacity,Screen_Size,Weight,Price,Brand
5,16,512,1,2,2,1
3,4,1000,1,3,5,0
4,4,256,1,1,1,4
5,16,512,2,5,2,0
4,32,1000,4,4,5,0
1,16,256,1,5,1,3
3,32,256,1,4,1,4
4,4,256,4,2,1,4
3,4,512,4,2,2,4
4,32,512,3,4,2,0
5,4,1000,3,2,5,1
5,32,512,2,3,2,4
3,8,512,3,1,2,0
1,16,256,3,1,1,3
5,8,256,2,3,1,1
5,32,256,5,3,1,3
1,16,256,1,4,1,1
5,32,256,4,1,1,0
5,16,256,1,3,1,2
3,16,256,4,1,1,1
3,16,1000,4,1,5,3
2,16,1000,5,3,5,0
1,32,1000,1,1,5,1
2,16,1000,3,2,5,2
5,16,256,3,2,1,2
1,8,1000,4,2,5,4
2,4,256,3,1,1,4
2,4,1000,3,1,5,3
3,8,512,3,1,2,1
5,8,1000,2,1,5,1
2,32,1000,3,4,5,4
2,32,256,1,2,1,1
4,32,1000,5,2,5,1
3,8,512,4,2,2,2
2,8,256,5,4,1,4
3,16,256,2,5,1,0
1,32,1000,5,4,5,4
1,32,256,5,4,1,0
3,32,256,4,3,1,2
3,4,256,4,4,1,3
5,16,256,2,3,1,1
2,32,256,5,2,1,2
3,32,256,3,2,1,1
4,32,512,1,2,2,3
1,4,1000,2,5,5,3
4,4,512,5,3,2,2
1,8,256,5,4,1,3
5,16,256,5,2,1,0
1,8,1000,4,3,5,3
3,16,512,2,1,2,1
1,4,1000,1,1,5,1
5,32,512,1,5,2,1
3,8,256,1,3,1,1
3,32,1000,2,2,5,0
1,8,1000,1,5,5,4
4,4,256,3,2,1,2
2,4,1000,5,5,5,1
5,4,512,3,2,2,3
2,8,512,5,2,2,1
1,16,512,4,2,2,3
1,8,512,2,1,2,3
3,16,256,2,1,1,1
3,8,1000,1,4,5,0
1,8,512,2,5,2,3
4,4,256,4,4,1,3
3,32,1000,1,1,5,1
3,32,1000,2,3,5,3
3,16,256,2,1,1,3
2,32,256,5,1,1,1
3,8,512,4,4,2,1
1,8,1000,4,3,5,2
1,4,1000,1,1,5,0
5,4,256,4,1,1,0
5,32,1000,4,5,5,3
2,16,512,4,1,2,0
2,32,1000,5,3,5,3
4,32,256,2,3,1,2
3,32,256,5,1,1,1
1,32,512,5,1,2,1
1,8,512,1,2,2,1
4,16,1000,3,4,5,0
4,8,1000,5,3,5,2
1,16,256,1,4,1,0
2,4,512,3,5,2,0
2,32,512,5,4,2,2
4,8,512,3,3,2,2
1,16,1000,1,3,5,2
1,4,512,3,4,2,2
4,4,256,2,4,1,1
1,32,256,3,3,1,4
4,16,1000,1,4,5,4
2,8,1000,4,1,5,2
1,32,512,3,3,2,4
2,8,1000,4,2,5,4
4,4,256,4,1,1,2
5,8,512,3,1,2,4
5,8,256,4,4,1,0
2,32,512,1,3,2,3
4,8,1000,3,2,5,3
2,32,512,1,3,2,2
2,4,512,5,3,2,1
5,32,256,1,1,1,2
1,32,256,3,4,1,1
1,16,512,4,4,2,3
2,8,1000,3,4,5,2
1,4,1000,1,4,5,0
1,32,256,3,3,1,4
3,4,1000,4,1,5,1
3,16,256,4,2,1,4
5,8,1000,2,1,5,4
5,32,512,3,5,3,2
2,8,256,3,1,1,4
2,16,256,4,1,1,0
2,16,512,3,5,2,4
3,4,256,3,5,1,2
2,32,1000,2,4,5,0
4,4,1000,1,1,5,3
3,16,256,1,1,1,4
3,8,1000,1,2,5,2
3,4,256,3,1,1,3
2,4,512,4,1,2,3
5,8,256,2,3,1,1
4,4,512,5,5,2,0
1,8,1000,1,2,5,4
5,32,512,4,4,2,2
3,8,1000,4,4,5,1
5,32,256,2,2,1,0
4,8,1000,1,4,5,1
3,16,256,4,2,1,0
1,16,256,2,1,1,0
